title;price;currency;link;ean;condition;shipping;delivery
BEITZ BS-3000 X3 Elite Geldzählmaschine & Banknotensortierer | (2+1 Taschen ) – MIX-Wertzählung | Dual-CIS Full-Fitness | Professioneller Wertzähler & Falschgeldprüfer | 14-fache Falschgelderkennung | NEUHEIT 2026;2998.98;EUR;https://bachmann-handel.de/products/beitz-bs-3000-x3-elite-geldzahlmaschine-banknotensortierer-2-1-taschen-mix-wertzahlung-dual-cis-full-fitness-professioneller-wertzahler-falschgeldprufer-1-fache-falschgelderkennung-neuheit-2026;;Neu;0.00;2-4 Tage
BEITZ BS-01 USB ↔ RS232 Anschlusskabel | Für Geldzählmaschinen & Banknotenzähler | Kompatibel mit BS-950A BS-920A BS-910A | PC-Verbindung für Zählprotokoll-Export & Seriennummer-Analyse | Professionell & Robust;22.98;EUR;https://bachmann-handel.de/products/beitz-bs-01-serielles-anschlusskabel-fur-geldzahlmaschinen-zu-pc;;Neu;0.00;2-4 Tage
BEITZ BS-09 UV Geldscheinprüfer & Falschgeldprüfer | Sichtprüfung Mit UV-Licht Für Sicherheitsmerkmale | Kompakt, Robust & Energiesparend | Für Euro, USD, GBP, CHF | Offline, Anonym & Professionell | Für Handel & Tankstellen;22.98;EUR;https://bachmann-handel.de/products/beitz-bs-09-uv-falschgeldprufgerat-zur-prufung-von-banknoten-tragbarer-geldscheinprufer-uv-geldprufer-fur-scheine-falschgeld-prufer-uv-banknotenprufgerat-falschgelderkennung;;Neu;0.00;2-4 Tage
BEITZ BS-P30 Thermodrucker | Belegdrucker für Geldzählmaschinen & Banknotenzähler | Kompatibel mit BS-950A BS-920A BS-910A | USB & RS232 Anschluss | Zählprotokoll, Seriennummer, Datum | Offline & Professionell;99.98;EUR;https://bachmann-handel.de/products/beitz-bs-p30-thermodrucker-fur-geldzahlmaschinen-belegdrucker-58mm-thermopapier;;Neu;0.00;2-4 Tage
BEITZ BS-136T Geldscheinprüfer & Falschgeldprüfer | UV-, MG- & IR-Erkennung | Echtzeit-Prüfung Für Euro USD GBP CHF | Kompakt, Tragbar & Professionell | EZB-konform & Updatefähig | Anzeige Echt/Falsch;129.98;EUR;https://bachmann-handel.de/products/beitz-bs-136t-automatischer-geldscheinprufer-gerat-falschgeldprufgerat-banknotenprufer-geldzahlmaschine-wahrungszahler-mit-akku-geldprufer-und-zahler;;Neu;0.00;2-4 Tage
BEITZ BS-910A Geldzählmaschine & Banknotenzaehler | Wertzaehler mit Falschgeldpruefer UV MG IR 2CIS | EZB-getestet | Display & Kundendisplay | Offline & Anonym | Professionell | Mehrwaehrung;589.98;EUR;https://bachmann-handel.de/products/beitz-bs-910a-geldzahlmaschine-scheine-wertzahler-banknoten-zahler-summenzahler;;Neu;0.00;2-4 Tage
BEITZ BS-9001 Münzzählmaschine & Münzsortierer | Zählt & Sortiert Alle Euro-Münzen | Professionell, Schnell & Präzise | Kompakt, Robust, Handlich | Offline & Anonym | Für Handel, Tankstellen & Büros;129.98;EUR;https://bachmann-handel.de/products/beitz-bs-9001-geldzahlmaschine-munzzahler-munzsortierer;;Neu;0.00;2-4 Tage
BEITZ BS-9001 Münzzählmaschine & Münzsortierer | Zählt & Sortiert Alle Euro-Münzen | Professionell, Schnell & Präzise | Kompakt, Robust, Handlich | Offline & Anonym | Für Handel, Tankstellen & Büros;129.98;EUR;https://bachmann-handel.de/products/beitz-bs-9001-geldzahlmaschine-munzzahler-munzsortierer;;Neu;0.00;2-4 Tage
BEITZ BS-1002 Geldzählmaschine & Banknotenzaehler | Kompakter Stueckzaehler mit LED-Display | Offline & Anonym | Professionell & Leise | Fuer Euro USD GBP CHF | Robust, Langlebig, Schnell | Datenschutz garantiert;159.98;EUR;https://bachmann-handel.de/products/beitz-bs-1002-geldzahlmaschine-stuckzahler-geldscheinprufer;;Neu;0.00;2-4 Tage
BEITZ BS-5300 Geldzählmaschine & Banknotenzähler mit Display | UV- & MG-Falschgelderkennung | Wertzähler für Euro & USD | Schnell, Robust & Professionell | Externes Kundendisplay inkl.;298.98;EUR;https://bachmann-handel.de/products/beitz-bs-5300-geldzahlmaschine-wertzahler-geldscheinprufer-1;;Neu;0.00;2-4 Tage
BEITZ BS-920A Geldzählmaschine & Banknotenzähler für Scheine | | Wertzähler für EUR Scheine 9-fache Falschgelderkennung (2CIS UV MG IR SN) | EZB-getestet | Offline & Anonym | Professionell für Tankstellen Autohäuser Büros | Mehrwährung;619.98;EUR;https://bachmann-handel.de/products/beitz-bs-920a-geldzahlmaschine-wertzahler-geldscheinprufer;;Neu;0.00;2-4 Tage
BEITZ BS-950A Geldzählmaschine & Wertzähler mit Thermodrucker-Option und 2-Taschen-System | 9-fache Falschgelderkennung (2CIS UV MG IR SN) | EZB-getestet | Offline & Anonym | Professioneller Banknotenzähler für Tankstellen Autohäuser Büros | Mehrwährung;1179.98;EUR;https://bachmann-handel.de/products/beitz-bs-950a-geldzahlmaschine-wertzahler-geldscheinprufer;;Neu;0.00;2-4 Tage
